Unnamed: 0,activity_id,assists,date,game_N,k_d,map_hash,map_name,map_path,pclass,play_time,player,score,standing,team,kills,deaths,rezzes,rezzed,orbs_gen,orbs_gath,long_life,avg_life,max_k_spree,best_weap,avg_k_dist,first_blood,never_say_die,from_the_brink,back_in_action,wrecking_ball,ace,close_call,annil,ar_kills,ar_hshots,hc_kills,hc_hshots,pr_kills,pr_hshots,scout_kills,scout_hshots,sniper_kills,sniper_hshots,shotg_kills,shotg_hshots,fr_kills,side_kills,rocket_kills,hmg_kills,melees,grenades,supers,alleg,n_primary,n_special,n_heavy,n_abil,n_supers,points
26,5100940484.0,5.0,2016-06-12T00:51:52Z,4.0,2.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,473.0,XpLiCiTOnE,4.0,Victory,Bravo,4.0,2.0,2.0,0.0,0.0,3.0,60.0,157.333333333,4.0,2.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,us,1.0,1.0,0.0,2.0,0.0,415.0
27,5100940484.0,0.0,2016-06-12T00:51:52Z,4.0,0.666666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,473.0,Fonso123189,2.0,Defeat,Alpha,4.0,6.0,0.0,0.0,0.0,1.0,62.0,66.8571428571,2.0,1.0,20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,them,2.0,0.0,0.0,1.0,0.0,-200.0
28,5100940484.0,1.0,2016-06-12T00:51:52Z,4.0,0.285714285714,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,473.0,LazyPanda641,2.0,Defeat,Alpha,2.0,7.0,0.0,1.0,1.0,0.0,59.0,58.75,1.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,0.0,0.0,0.0,0.0,0.0,-455.0
29,5100940484.0,0.0,2016-06-12T00:51:52Z,4.0,0.333333333333,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,473.0,VanNos_gaY204,2.0,Defeat,Alpha,2.0,6.0,1.0,0.0,0.0,0.0,44.0,66.8571428571,2.0,2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,1.0,1.0,0.0,0.0,0.0,-375.0
30,5100970909.0,4.0,2016-06-12T01:00:31Z,5.0,2.66666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,467.0,JohnOfMars,4.0,Victory,Bravo,8.0,3.0,0.0,1.0,2.0,0.0,59.0,116.0,5.0,5.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,us,2.0,4.0,0.0,1.0,1.0,644.0
31,5100970909.0,3.0,2016-06-12T01:00:31Z,5.0,1.4,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,467.0,igordennis,4.0,Victory,Bravo,7.0,5.0,1.0,1.0,0.0,0.0,59.0,77.3333333333,3.0,1.0,14.4285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,us,5.0,0.0,0.0,1.0,1.0,336.0
32,5100970909.0,6.0,2016-06-12T01:00:31Z,5.0,2.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,467.0,XpLiCiTOnE,4.0,Victory,Bravo,8.0,4.0,1.0,0.0,0.0,0.0,59.0,93.2,2.0,2.0,20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,us,2.0,2.0,0.0,3.0,1.0,623.0
33,5100970909.0,0.0,2016-06-12T01:00:31Z,5.0,0.571428571429,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,467.0,Bballmiller23,2.0,Defeat,Alpha,4.0,7.0,1.0,2.0,0.0,0.0,45.0,57.75,2.0,4.0,26.5,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,them,1.0,1.0,0.0,0.0,1.0,-251.0
34,5100970909.0,0.0,2016-06-12T01:00:31Z,5.0,0.444444444444,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,467.0,SaaiNTs_x,2.0,Defeat,Alpha,4.0,9.0,0.0,1.0,0.0,0.0,45.0,46.4,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,them,1.0,1.0,0.0,1.0,0.0,-488.0
35,5100970909.0,1.0,2016-06-12T01:00:31Z,5.0,0.428571428571,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,467.0,EarlLemongrab69,2.0,Defeat,Alpha,3.0,7.0,3.0,1.0,0.0,0.0,61.0,57.75,2.0,8.0,30.3333333333,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,them,0.0,1.0,0.0,1.0,0.0,-280.0
36,5101005646.0,2.0,2016-06-12T01:08:56Z,6.0,0.714285714286,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,550.0,JohnOfMars,5.0,Victory,Alpha,5.0,7.0,1.0,2.0,2.0,0.0,41.0,68.375,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,us,2.0,1.0,0.0,1.0,1.0,-85.0
37,5101005646.0,2.0,2016-06-12T01:08:56Z,6.0,1.375,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,550.0,igordennis,5.0,Victory,Alpha,11.0,8.0,1.0,4.0,1.0,1.0,40.0,60.7777777778,4.0,8.0,12.5454545455,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,us,1.0,3.0,0.0,4.0,2.0,439.0
38,5101005646.0,3.0,2016-06-12T01:08:56Z,6.0,1.66666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,550.0,XpLiCiTOnE,5.0,Victory,Alpha,10.0,6.0,5.0,1.0,2.0,0.0,54.0,78.4285714286,6.0,2.0,16.1,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,us,3.0,2.0,1.0,3.0,1.0,636.0
39,5101005646.0,2.0,2016-06-12T01:08:56Z,6.0,1.25,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,550.0,Fayrux,4.0,Defeat,Bravo,10.0,8.0,1.0,2.0,3.0,0.0,50.0,60.7777777778,3.0,8.0,15.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,them,1.0,2.0,0.0,4.0,2.0,315.0
40,5101005646.0,3.0,2016-06-12T01:08:56Z,6.0,0.4,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,550.0,javierpark,4.0,Defeat,Bravo,4.0,10.0,2.0,2.0,0.0,0.0,48.0,49.5454545455,1.0,1.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,4.0,0.0,0.0,0.0,0.0,-427.0
41,5101005646.0,2.0,2016-06-12T01:08:56Z,6.0,0.875,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,550.0,Madt99,4.0,Defeat,Bravo,7.0,8.0,4.0,3.0,0.0,3.0,56.0,60.5555555556,3.0,3.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,them,3.0,0.0,0.0,3.0,0.0,102.0
42,5101033227.0,3.0,2016-06-12T01:19:34Z,7.0,3.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,362.0,JohnOfMars,4.0,Victory,Alpha,9.0,3.0,0.0,0.0,2.0,0.0,44.0,89.75,4.0,5.0,14.1111111111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,us,2.0,4.0,0.0,1.0,1.0,699.0
43,5101033227.0,2.0,2016-06-12T01:19:34Z,7.0,2.5,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,362.0,igordennis,4.0,Victory,Alpha,5.0,2.0,1.0,1.0,1.0,0.0,44.0,119.666666667,2.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,us,2.0,1.0,0.0,0.0,2.0,403.0
44,5101033227.0,1.0,2016-06-12T01:19:34Z,7.0,2.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,362.0,XpLiCiTOnE,4.0,Victory,Alpha,4.0,2.0,1.0,1.0,0.0,2.0,44.0,120.333333333,2.0,8.0,43.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,us,1.0,3.0,0.0,0.0,0.0,270.0
45,5101033227.0,3.0,2016-06-12T01:19:34Z,7.0,0.333333333333,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,362.0,giles863,1.0,Defeat,Bravo,2.0,6.0,1.0,1.0,0.0,0.0,34.0,51.0,1.0,2.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,1.0,1.0,0.0,0.0,0.0,-264.0
46,5101033227.0,0.0,2016-06-12T01:19:34Z,7.0,0.333333333333,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,362.0,hrking98,1.0,Defeat,Bravo,2.0,6.0,0.0,0.0,0.0,0.0,39.0,51.2857142857,2.0,0.0,23.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,them,0.0,0.0,0.0,1.0,0.0,-400.0
47,5101033227.0,0.0,2016-06-12T01:19:34Z,7.0,0.5,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,362.0,gatornator_x2560,1.0,Defeat,Bravo,3.0,6.0,1.0,1.0,0.0,0.0,38.0,51.0,1.0,5.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,them,0.0,2.0,0.0,1.0,0.0,-263.0
48,5101072353.0,5.0,2016-06-12T01:26:23Z,8.0,0.625,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,628.0,JohnOfMars,5.0,Victory,Alpha,5.0,8.0,0.0,4.0,2.0,2.0,84.0,69.4444444444,1.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,us,1.0,1.0,0.0,2.0,1.0,-87.0
49,5101072353.0,5.0,2016-06-12T01:26:23Z,8.0,1.14285714286,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,628.0,igordennis,5.0,Victory,Alpha,8.0,7.0,2.0,4.0,0.0,0.0,52.0,78.125,3.0,8.0,33.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,us,2.0,3.0,1.0,1.0,0.0,363.0
50,5101072353.0,1.0,2016-06-12T01:26:23Z,8.0,2.25,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,628.0,XpLiCiTOnE,5.0,Victory,Alpha,9.0,4.0,7.0,1.0,3.0,0.0,84.0,125.4,4.0,2.0,20.8888888889,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,us,3.0,2.0,0.0,2.0,2.0,720.0
51,5101072353.0,2.0,2016-06-12T01:26:23Z,8.0,1.71428571429,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,628.0,glock21sv,3.0,Defeat,Bravo,12.0,7.0,2.0,2.0,0.0,0.0,80.0,78.0,9.0,8.0,37.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,them,0.0,10.0,0.0,2.0,0.0,640.0
52,5101072353.0,2.0,2016-06-12T01:26:23Z,8.0,0.375,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,628.0,iPace22,3.0,Defeat,Bravo,3.0,8.0,0.0,1.0,0.0,0.0,72.0,69.4444444444,1.0,9.0,20.3333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,them,1.0,1.0,1.0,0.0,0.0,-422.0
53,5101072353.0,1.0,2016-06-12T01:26:23Z,8.0,0.571428571429,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,628.0,EckoTheBoss,3.0,Defeat,Bravo,4.0,7.0,2.0,1.0,0.0,0.0,79.0,77.875,1.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,them,2.0,0.0,0.0,2.0,0.0,-205.0
